ecoregion,month,occurrences,area,density,norm_occurrences
173,6,43,15.113153628,2.8452036589063914,0.017418417378492312
173,7,94,15.113153628,6.219747533423274,0.07108713196140648
173,8,5,15.113153628,0.33083763475655714,0.011202611376428423
181,10,36,1.17853103294,30.546501529275208,0.16316164026234942
182,11,3,5.52529219317,0.5429577106724602,0.023501970190963246
184,10,2,0.879716741951,2.2734590631576266,0.16316164026234942
189,4,2,8.56895647834,0.2334006486152028,0.0457381685262568
189,5,3,8.56895647834,0.3501009729228042,0.012972889536181942
190,4,3,0.282603984934,10.615561562943377,0.07350777084576986
190,5,2,0.282603984934,7.077041041962252,0.009266349668701388
190,9,2,0.282603984934,7.077041041962252,0.03125841801874697
191,5,8,5.7372718021,1.3943909711706144,0.01365567319598099
191,9,4,5.7372718021,0.6971954855853072,0.023032518540129346
